date,name,value
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Alexander-Volkanovski,2198.1381987691393
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Israel-Adesanya,2140.597900015672
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Ciryl-Gane,2120.525876191058
2021-01-01,Brian-Ortega,2084.2908634137684
2021-01-01,Brian-Ortega,2084.2908634137684
